date,aru_001_cwr_temp,aru_001_cws_fr_gpm,aru_001_cws_temp
2020-08-01 07:00:00,63.05,80.2,63.08
2020-08-01 07:05:00,63.08,80.66,63.17
2020-08-01 07:10:00,58.91,79.9,63.17
2020-08-01 07:15:00,63.05,80.42,63.11
2020-08-01 07:20:00,62.86,79.22,62.92
2020-08-01 07:25:00,62.55,78.48,62.59
2020-08-01 07:30:00,62.53,78.94,62.62
2020-08-01 07:35:00,62.03,78.7,62.75
2020-08-01 07:40:00,62.85,79.45,62.94
2020-08-01 07:45:00,63.0,80.42,63.08
2020-08-01 07:50:00,58.97,79.9,63.14
2020-08-01 07:55:00,63.05,79.92,63.08
2020-08-01 08:00:00,62.85,79.9,62.95
2020-08-01 08:05:00,59.93,78.92,62.87
2020-08-01 08:10:00,62.8,79.45,62.87
2020-08-01 08:15:00,62.69,79.9,62.95
2020-08-01 08:20:00,63.05,80.2,63.08
2020-08-01 08:25:00,63.05,80.42,63.11
2020-08-01 08:30:00,58.83,80.19,63.17
2020-08-01 08:35:00,63.1,80.2,63.17
2020-08-01 08:40:00,62.94,80.9,63.23
2020-08-01 08:45:00,63.16,80.2,63.22
2020-08-01 08:50:00,63.08,79.68,63.08
2020-08-01 08:55:00,58.59,79.22,63.0
2020-08-01 09:00:00,63.0,79.92,63.08
2020-08-01 09:05:00,63.05,80.2,63.14
2020-08-01 09:10:00,60.89,80.87,63.17
2020-08-01 09:15:00,63.22,80.66,63.28
2020-08-01 09:20:00,62.7,81.62,63.44
2020-08-01 09:25:00,63.55,81.83,63.58
2020-08-01 09:30:00,63.47,81.85,63.5
2020-08-01 09:35:00,60.22,80.66,63.3
2020-08-01 09:40:00,63.14,80.9,63.22
2020-08-01 09:45:00,63.19,80.9,63.25
2020-08-01 09:50:00,59.4,81.17,63.33
2020-08-01 09:55:00,63.38,81.4,63.44
2020-08-01 10:00:00,63.28,81.4,63.44
2020-08-01 10:05:00,63.35,81.4,63.39
2020-08-01 10:10:00,63.33,80.42,63.36
2020-08-01 10:15:00,62.47,80.66,63.3
2020-08-01 10:20:00,63.34,81.62,63.44
2020-08-01 10:25:00,63.52,82.59,63.58
2020-08-01 10:30:00,59.17,81.39,63.55
2020-08-01 10:35:00,63.58,82.81,63.63
